Timestamp (UTC)	Timestamp (ms)	Comp1 time	Latitude	Longitude	Altitude
2016-11-09 19:30:45.072	1478719845072	19:30:45.000	35.764965	-120.76995	216.2921
2016-11-09 19:30:46.06	1478719846060	19:30:46.000	35.764996	-120.769966	216.29262
2016-11-09 19:30:47.056	1478719847056	19:30:47.000	35.76499	-120.769966	216.29735
2016-11-09 19:30:48.058	1478719848058	19:30:48.000	35.76499	-120.769966	216.31284
2016-11-09 19:30:49.035	1478719849035	19:30:49.000	35.76499	-120.76996	216.31818
2016-11-09 19:30:50.07	1478719850070	19:30:50.000	35.764988	-120.769966	216.31624
2016-11-09 19:30:51.062	1478719851062	19:30:51.000	35.764988	-120.769966	216.31267
2016-11-09 19:30:52.097	1478719852097	19:30:52.000	35.764988	-120.769966	216.30951
2016-11-09 19:30:53.078	1478719853078	19:30:53.000	35.764988	-120.769966	216.30634
2016-11-09 19:30:54.062	1478719854062	19:30:54.000	35.764988	-120.769966	216.30276
2016-11-09 19:30:55.075	1478719855075	19:30:55.000	35.764988	-120.769966	216.29922
2016-11-09 19:30:56.048	1478719856048	19:30:56.000	35.764988	-120.769966	216.29597
2016-11-09 19:30:57.062	1478719857062	19:30:57.000	35.764988	-120.769966	216.29286
2016-11-09 19:30:58.069	1478719858069	19:30:58.000	35.764988	-120.769966	216.25557
2016-11-09 19:30:59.044	1478719859044	19:30:59.000	35.764984	-120.769966	216.22896
2016-11-09 19:31:00.049	1478719860049	19:31:00.000	35.76498	-120.76998	216.19905
2016-11-09 19:31:01.091	1478719861091	19:31:01.000	35.764973	-120.76999	216.1857
2016-11-09 19:31:02.068	1478719862068	19:31:02.000	35.764965	-120.77	216.17622
2016-11-09 19:31:03.095	1478719863095	19:31:03.000	35.76496	-120.76999	216.17032
2016-11-09 19:31:04.079	1478719864079	19:31:04.000	35.764954	-120.76998	216.16393
2016-11-09 19:31:05.098	1478719865098	19:31:05.000	35.76495	-120.769966	216.16052
2016-11-09 19:31:06.097	1478719866097	19:31:06.000	35.764942	-120.76996	216.15593
2016-11-09 19:31:07.102	1478719867102	19:31:07.000	35.764942	-120.76994	216.13802
2016-11-09 19:31:08.08	1478719868080	19:31:08.000	35.76494	-120.76993	216.11874
2016-11-09 19:31:09.067	1478719869067	19:31:09.000	35.76493	-120.76992	216.0829
2016-11-09 19:31:10.082	1478719870082	19:31:10.000	35.764923	-120.769905	216.04599
2016-11-09 19:31:11.089	1478719871089	19:31:11.000	35.76491	-120.76989	216.01782
2016-11-09 19:31:12.084	1478719872084	19:31:12.000	35.7649	-120.769875	215.99817
2016-11-09 19:31:13.093	1478719873093	19:31:13.000	35.76489	-120.76986	215.98082
2016-11-09 19:31:14.065	1478719874065	19:31:14.000	35.764874	-120.76985	215.9587
2016-11-09 19:31:15.071	1478719875071	19:31:15.000	35.764862	-120.76984	215.93272
2016-11-09 19:31:16.078	1478719876078	19:31:16.000	35.76485	-120.76982	215.90703
2016-11-09 19:31:17.093	1478719877093	19:31:17.000	35.764847	-120.769806	215.87784
2016-11-09 19:31:18.099	1478719878099	19:31:18.000	35.764847	-120.76979	215.84364
2016-11-09 19:31:19.102	1478719879102	19:31:19.000	35.764843	-120.769775	215.81522
2016-11-09 19:31:20.082	1478719880082	19:31:20.000	35.764843	-120.76977	215.78235
2016-11-09 19:31:21.085	1478719881085	19:31:21.000	35.764843	-120.76976	215.74823
2016-11-09 19:31:22.095	1478719882095	19:31:22.000	35.764843	-120.769745	215.72694
2016-11-09 19:31:23.082	1478719883082	19:31:23.000	35.76484	-120.76973	215.71916
2016-11-09 19:31:24.101	1478719884101	19:31:24.000	35.764835	-120.769714	215.72435
2016-11-09 19:31:25.091	1478719885091	19:31:25.000	35.764828	-120.76969	215.74292
2016-11-09 19:31:26.077	1478719886077	19:31:26.000	35.764824	-120.76968	215.7684
2016-11-09 19:31:27.099	1478719887099	19:31:27.000	35.76482	-120.76967	215.79346
2016-11-09 19:31:28.079	1478719888079	19:31:28.000	35.764812	-120.76965	215.82555
2016-11-09 19:31:29.071	1478719889071	19:31:29.000	35.764805	-120.769646	215.86044
2016-11-09 19:31:30.068	1478719890068	19:31:30.000	35.7648	-120.76963	215.89182
2016-11-09 19:31:31.071	1478719891071	19:31:31.000	35.764797	-120.76963	215.92293
2016-11-09 19:31:32.067	1478719892067	19:31:32.000	35.7648	-120.76963	215.92587
2016-11-09 19:31:33.101	1478719893101	19:31:33.000	35.7648	-120.76963	215.9299
2016-11-09 19:31:34.081	1478719894081	19:31:34.000	35.7648	-120.76963	215.9336
2016-11-09 19:31:35.092	1478719895092	19:31:35.000	35.7648	-120.76963	215.9376
2016-11-09 19:31:36.087	1478719896087	19:31:36.000	35.7648	-120.76963	215.94202
2016-11-09 19:31:37.064	1478719897064	19:31:37.000	35.7648	-120.76963	215.94635
2016-11-09 19:31:38.082	1478719898082	19:31:38.000	35.7648	-120.76963	215.951
2016-11-09 19:31:39.072	1478719899072	19:31:39.000	35.7648	-120.76963	215.95573
2016-11-09 19:31:40.091	1478719900091	19:31:40.000	35.7648	-120.76963	215.96072
2016-11-09 19:31:41.078	1478719901078	19:31:41.000	35.7648	-120.76963	215.96584
2016-11-09 19:31:42.102	1478719902102	19:31:42.000	35.7648	-120.76963	215.971
2016-11-09 19:31:43.096	1478719903096	19:31:43.000	35.7648	-120.76963	215.97647
2016-11-09 19:31:44.087	1478719904087	19:31:44.000	35.7648	-120.76963	215.98206
2016-11-09 19:31:45.095	1478719905095	19:31:45.000	35.7648	-120.76963	215.98767
2016-11-09 19:31:46.071	1478719906071	19:31:46.000	35.7648	-120.76963	215.99364
2016-11-09 19:31:47.106	1478719907106	19:31:47.000	35.7648	-120.76963	215.99954
2016-11-09 19:31:48.102	1478719908102	19:31:48.000	35.7648	-120.76963	216.0051
2016-11-09 19:31:49.068	1478719909068	19:31:49.000	35.7648	-120.76963	216.01073
2016-11-09 19:31:50.097	1478719910097	19:31:50.000	35.7648	-120.76963	216.01634
2016-11-09 19:31:51.097	1478719911097	19:31:51.000	35.7648	-120.76963	216.0222
2016-11-09 19:31:52.069	1478719912069	19:31:52.000	35.7648	-120.76963	216.02803
2016-11-09 19:31:53.098	1478719913098	19:31:53.000	35.7648	-120.76963	216.03392
2016-11-09 19:31:54.07	1478719914070	19:31:54.000	35.7648	-120.76963	216.04015
2016-11-09 19:31:55.099	1478719915099	19:31:55.000	35.7648	-120.76963	216.04655
2016-11-09 19:31:56.08	1478719916080	19:31:56.000	35.7648	-120.76963	216.05305
2016-11-09 19:31:57.097	1478719917097	19:31:57.000	35.7648	-120.76963	216.05957
2016-11-09 19:31:58.064	1478719918064	19:31:58.000	35.7648	-120.76963	216.06606
2016-11-09 19:31:59.107	1478719919107	19:31:59.000	35.7648	-120.76963	216.0727
2016-11-09 19:32:00.142	1478719920142	19:32:00.000	35.7648	-120.76963	216.07928
2016-11-09 19:32:01.066	1478719921066	19:32:01.000	35.7648	-120.76963	216.08578
2016-11-09 19:32:02.092	1478719922092	19:32:02.000	35.7648	-120.76963	216.09225
2016-11-09 19:32:03.096	1478719923096	19:32:03.000	35.7648	-120.76963	216.0986
2016-11-09 19:32:04.051	1478719924051	19:32:04.000	35.7648	-120.76963	216.10484
2016-11-09 19:32:05.087	1478719925087	19:32:05.000	35.7648	-120.76963	216.11104
2016-11-09 19:32:06.078	1478719926078	19:32:06.000	35.7648	-120.76963	216.1171
2016-11-09 19:32:07.063	1478719927063	19:32:07.000	35.7648	-120.76963	216.12354
2016-11-09 19:32:08.056	1478719928056	19:32:08.000	35.7648	-120.76963	216.1299
2016-11-09 19:32:09.061	1478719929061	19:32:09.000	35.7648	-120.76963	216.13612
2016-11-09 19:32:10.057	1478719930057	19:32:10.000	35.764805	-120.76963	216.14233
2016-11-09 19:32:11.08	1478719931080	19:32:11.000	35.764805	-120.76963	216.14851
2016-11-09 19:32:12.071	1478719932071	19:32:12.000	35.764805	-120.76963	216.1548
2016-11-09 19:32:13.062	1478719933062	19:32:13.000	35.764805	-120.76963	216.16115
2016-11-09 19:32:14.088	1478719934088	19:32:14.000	35.764805	-120.76963	216.16753
2016-11-09 19:32:15.051	1478719935051	19:32:15.000	35.764805	-120.76963	216.17403
2016-11-09 19:32:16.036	1478719936036	19:32:16.000	35.764805	-120.76963	216.18077
2016-11-09 19:32:17.054	1478719937054	19:32:17.000	35.7648	-120.76963	216.18755
2016-11-09 19:32:18.061	1478719938061	19:32:18.000	35.7648	-120.76963	216.1944
2016-11-09 19:32:19.056	1478719939056	19:32:19.000	35.7648	-120.76963	216.2014
2016-11-09 19:32:20.059	1478719940059	19:32:20.000	35.7648	-120.76963	216.20844
2016-11-09 19:32:21.061	1478719941061	19:32:21.000	35.7648	-120.76963	216.21559
2016-11-09 19:32:22.056	1478719942056	19:32:22.000	35.7648	-120.76963	216.22285
2016-11-09 19:32:23.053	1478719943053	19:32:23.000	35.7648	-120.76963	216.23006
2016-11-09 19:32:24.056	1478719944056	19:32:24.000	35.7648	-120.76963	216.2371
2016-11-09 19:32:25.071	1478719945071	19:32:25.000	35.7648	-120.76964	216.3053
2016-11-09 19:32:26.087	1478719946087	19:32:26.000	35.7648	-120.76963	216.37157
2016-11-09 19:32:27.079	1478719947079	19:32:27.000	35.764805	-120.76961	216.4362
2016-11-09 19:32:28.095	1478719948095	19:32:28.000	35.764812	-120.76959	216.49754
2016-11-09 19:32:29.079	1478719949079	19:32:29.000	35.764816	-120.76957	216.55835
2016-11-09 19:32:30.102	1478719950102	19:32:30.000	35.764824	-120.769554	216.61722
2016-11-09 19:32:31.095	1478719951095	19:32:31.000	35.76483	-120.76954	216.67487
2016-11-09 19:32:32.073	1478719952073	19:32:32.000	35.76484	-120.76952	216.7303
2016-11-09 19:32:33.083	1478719953083	19:32:33.000	35.76485	-120.76951	216.78235
2016-11-09 19:32:34.085	1478719954085	19:32:34.000	35.764862	-120.76949	216.8312
2016-11-09 19:32:35.069	1478719955069	19:32:35.000	35.764874	-120.76948	216.87904
2016-11-09 19:32:36.079	1478719956079	19:32:36.000	35.764885	-120.76946	216.92328
2016-11-09 19:32:37.075	1478719957075	19:32:37.000	35.764893	-120.76945	216.96375
2016-11-09 19:32:38.092	1478719958092	19:32:38.000	35.764904	-120.76944	217.00282
2016-11-09 19:32:39.057	1478719959057	19:32:39.000	35.76492	-120.76943	217.03888
2016-11-09 19:32:40.094	1478719960094	19:32:40.000	35.76493	-120.769424	217.07562
2016-11-09 19:32:41.099	1478719961099	19:32:41.000	35.764946	-120.76941	217.11014
2016-11-09 19:32:42.076	1478719962076	19:32:42.000	35.76496	-120.7694	217.1436
2016-11-09 19:32:43.054	1478719963054	19:32:43.000	35.764977	-120.769394	217.17746
2016-11-09 19:32:44.088	1478719964088	19:32:44.000	35.76499	-120.769394	217.20459
2016-11-09 19:32:45.079	1478719965079	19:32:45.000	35.765007	-120.76939	217.2307
2016-11-09 19:32:46.054	1478719966054	19:32:46.000	35.765026	-120.76938	217.25775
